death_cat,sex_cat,age_years,fx,n,prop,cume_prop
Cancer,Female,10,4.253009015195239e-5,836,1.3849240743538568e-4,0.001616517837026906
Cancer,Female,11,1.63670969611439e-4,856,1.418056229242705e-4,0.0017583234599511765
Cancer,Female,12,3.5374855188390395e-4,906,1.5008866164648255e-4,0.001908412121597659
Cancer,Female,13,0.0011128827593187736,990,1.6400416669979883e-4,0.0020724162882974576
Cancer,Female,14,0.00508309600653137,1044,1.7294984851978784e-4,0.002245366136817246
Cancer,Female,15,0.011724224471988629,1065,1.7642872478311692e-4,0.002421794861600363
Cancer,Female,16,0.019941080597318618,1107,1.8338647730977505e-4,0.0026051813389101376
Cancer,Female,17,0.028638476824149404,1140,1.88853282866435e-4,0.002794034621776573
Cancer,Female,18,0.03747762190142501,1193,1.976333039119798e-4,0.0029916679256885527
Cancer,Female,19,0.049465049699884064,1231,2.0392841334086097e-4,0.0031955963390294133
Cancer,Female,20,0.06314606924179736,1354,2.2430468859750263e-4,0.003419901027626916
Cancer,Female,21,0.07626107586269913,1488,2.4650323237303094e-4,0.0036664042599999468
Cancer,Female,22,0.08655046489812364,1596,2.64394596013009e-4,0.003930798856012956
Cancer,Female,23,0.09257886408769646,1732,2.869244613374258e-4,0.004217723317350382
Cancer,Female,24,0.09771690110167783,1928,3.193939731284971e-4,0.004537117290478879
Cancer,Female,25,0.10227934500570383,2116,3.5053819872401447e-4,0.004887655489202894
Cancer,Female,26,0.10583282556245006,2370,3.9261603543285173e-4,0.005280271524635745
Cancer,Female,27,0.10794397253459213,2748,4.552358081727749e-4,0.00573550733280852
Cancer,Female,28,0.10826963141016406,3141,5.203404925293617e-4,0.0062558478253378815
Cancer,Female,29,0.1071893662235705,3515,5.82297622171508e-4,0.006838145447509389
Cancer,Female,30,0.1050542133684351,4145,6.866639100713799e-4,0.007524809357580769
Cancer,Female,31,0.10215517572630956,4735,7.844037669934822e-4,0.008309213124574251
Cancer,Female,32,0.09878325617874559,5528,9.157727611277656e-4,0.009224985885702017
Cancer,Female,33,0.09455464365632324,6275,0.0010395213596376138,0.010264507245339631
Cancer,Female,34,0.08630944950099032,7111,0.0011780137670729994,0.01144252101241263
Cancer,Female,35,0.07519206484590447,8360,0.0013849240743538567,0.012827445086766488
Cancer,Female,36,0.0630881383492201,9480,0.001570464141731407,0.014397909228497895
Cancer,Female,37,0.05188331866909162,10999,0.0018221028581122093,0.016220012086610103
Cancer,Female,38,0.042822425185658756,12362,0.00204789849367971,0.018267910580289815
Cancer,Female,39,0.033615012988578,14181,0.002349235442393785,0.020617146022683597
Cancer,Female,40,0.024659711268052793,16044,0.002657861465183406,0.023275007487867004
Cancer,Female,41,0.01695918761447797,18439,0.003054619019977364,0.02632962650784437
Cancer,Female,42,0.011516109618248347,20731,0.003434313515003565,0.029763940022847934
Cancer,Female,43,0.008874687778303057,24105,0.003993252967978435,0.03375719299082637
Cancer,Female,44,0.006911310073752394,26898,0.004455943511001201,0.03821313650182757
Cancer,Female,45,0.005210481177017742,30453,0.005044867564150479,0.04325800406597805
Cancer,Female,46,0.0037734365116927847,33958,0.005625508578577544,0.04888351264455559
Cancer,Female,47,0.002601411501371209,38059,0.006304883414573377,0.05518839605912897
Cancer,Female,48,0.0016956415696467019,42391,0.00702252588946583,0.0622109219485948
Cancer,Female,49,0.0010573621401129489,47470,0.007863916962868131,0.07007483891146293
Cancer,Female,50,6.878086363636364e-4,52504,0.008697853301420443,0.07877269221288337
Cancer,Male,15,0.0017668876773103404,1432,2.1669272426940353e-4,0.0026727958022140187
Cancer,Male,16,0.0045912830669994536,1559,2.3591058459217885e-4,0.0029087063868061974
Cancer,Male,17,0.011013175414442853,1684,2.5482580144530414e-4,0.0031635321882515013
Cancer,Male,18,0.021783645457839826,1890,2.8599807881925465e-4,0.0034495302670707563
Cancer,Male,19,0.03431674001837656,2078,3.1444656496635513e-4,0.003763976832037111
Cancer,Male,20,0.045743683121313335,2246,3.398686164169555e-4,0.0041038454484540665
Cancer,Male,21,0.0556289996309591,2356,3.565140072477058e-4,0.004460359455701773
Cancer,Male,22,0.06469709618227525,2488,3.7648847624460616e-4,0.004836847931946379
Cancer,Male,23,0.07224212361688567,2517,3.808768065545312e-4,0.00521772473850091
Cancer,Male,24,0.07902997701835508,2653,4.014565624907315e-4,0.005619181300991641
Cancer,Male,25,0.08561254090818986,2780,4.2067442281350687e-4,0.006039855723805148
Cancer,Male,26,0.09211547065243064,2845,4.30510335577132e-4,0.00647036605938228
Cancer,Male,27,0.09779504129335938,3140,4.7515024735050773e-4,0.006945516306732788
Cancer,Male,28,0.10279619302891482,3329,5.037500552324332e-4,0.007449266361965221
Cancer,Male,29,0.1070165692457505,3723,5.633708187534842e-4,0.008012637180718705
Cancer,Male,30,0.10889846786565852,3915,5.924245918398846e-4,0.00860506177255859
Cancer,Male,31,0.10900398258662092,4232,6.403935817794104e-4,0.009245455354338001
Cancer,Male,32,0.10514395255006061,4666,7.060672146934615e-4,0.009951522569031462
Cancer,Male,33,0.09881422948057204,5134,7.768857865915627e-4,0.010728408355623024
Cancer,Male,34,0.09133568438906195,5647,8.545138365567889e-4,0.011582922192179813
Cancer,Male,35,0.08274520828374114,6469,9.78900302582941e-4,0.012561822494762754
Cancer,Male,36,0.07351819765685198,7029,0.0010636404740849423,0.013625462968847696
Cancer,Male,37,0.06416089597396762,7947,0.0012025538266542946,0.014828016795501992
Cancer,Male,38,0.054630989098228715,9136,0.0013824753693612226,0.016210492164863213
Cancer,Male,39,0.04562035782080747,10426,0.0015776804072854757,0.01778817257214869
Cancer,Male,40,0.038047394715906284,11921,0.0018039064008488544,0.019592078972997543
Cancer,Male,41,0.030798253412718673,13958,0.0021121487746873844,0.021704227747684927
Cancer,Male,42,0.024861280545961675,16098,0.0024359772872128895,0.02414020503489782
Cancer,Male,43,0.019907608495342413,18953,0.0028680008401382718,0.02700820587503609
Cancer,Male,44,0.01594921268790583,21847,0.003305925940721829,0.030314131815757917
Cancer,Male,45,0.012702791435337542,25609,0.003875198307133488,0.03418933012289141
Cancer,Male,46,0.010030898190292924,29779,0.004506209941353748,0.03869554006424516
Cancer,Male,47,0.00793725466720812,34415,0.00520773750400246,0.04390327756824761
Cancer,Male,48,0.00628955972456538,39215,0.005934081831162472,0.049837359399410086
Cancer,Male,49,0.004998087592061977,45486,0.006883020430250062,0.05672037982966015
Cancer,Male,50,0.003926910618318337,51496,0.007792464056548327,0.06451284388620848
All deaths,Female,10,4.253009015195239e-5,4808,1.6977703875016133e-4,0.011181308141264525
All deaths,Female,11,1.63670969611439e-4,5106,1.802998252617146e-4,0.01136160796652624
All deaths,Female,12,3.5374855188390395e-4,5509,1.945303050072044e-4,0.011556138271533444
All deaths,Female,13,0.0011128827593187736,6455,2.279348554767661e-4,0.01178407312701021
All deaths,Female,14,0.00508309600653137,7860,2.7754732208325043e-4,0.01206162044909346
All deaths,Female,15,0.011724224471988629,9618,3.396247002285881e-4,0.01240124514932205
All deaths,Female,16,0.019941080597318618,12964,4.5777652461669954e-4,0.012859021673938749
All deaths,Female,17,0.028638476824149404,14955,5.280814506049631e-4,0.013387103124543711
All deaths,Female,18,0.03747762190142501,17931,6.331680702639648e-4,0.014020271194807676
All deaths,Female,19,0.049465049699884064,18927,6.68338188940163e-4,0.014688609383747839
All deaths,Female,20,0.06314606924179736,19630,6.931620779254715e-4,0.015381771461673311
All deaths,Female,21,0.07626107586269913,21449,7.573934492829057e-4,0.016139164910956218
All deaths,Female,22,0.08655046489812364,21558,7.612423879733731e-4,0.01690040729892959
All deaths,Female,23,0.09257886408769646,22522,7.952825429973239e-4,0.017695689841926914
All deaths,Female,24,0.09771690110167783,23317,8.233550774828435e-4,0.01851904491940976
All deaths,Female,25,0.10227934500570383,24498,8.650577985235966e-4,0.019384102717933352
All deaths,Female,26,0.10583282556245006,25751,9.09302937781906e-4,0.02029340565571526
All deaths,Female,27,0.10794397253459213,27064,9.556667588881793e-4,0.02124907241460344
All deaths,Female,28,0.10826963141016406,28620,0.0010106112414787058,0.022259683656082146
All deaths,Female,29,0.1071893662235705,30370,0.0010724061287109817,0.023332089784793127
All deaths,Female,30,0.1050542133684351,32108,0.0011337772795736647,0.024465867064366792
All deaths,Female,31,0.10215517572630956,33574,0.0011855437393922456,0.025651410803759038
All deaths,Female,32,0.09878325617874559,36333,0.001282967793034445,0.02693437859679348
All deaths,Female,33,0.09455464365632324,38548,0.0013611824645884398,0.02829556106138192
All deaths,Female,34,0.08630944950099032,41007,0.0014480131089908207,0.029743574170372742
All deaths,Female,35,0.07519206484590447,44645,0.001576475851705689,0.03132005002207843
All deaths,Female,36,0.0630881383492201,47858,0.0016899312646641474,0.03300998128674258
All deaths,Female,37,0.05188331866909162,51730,0.0018266568665860745,0.03483663815332865
