race_cat,cause,year,cume_median,cume_lower95,cume_upper95
Total,cancer,1999,63523.09109078231,60657.93180458529,66675.44559435332
Total,cancer,2000,127311.322767346,121887.02104277554,133279.3750659814
Total,cancer,2001,192096.45083538952,184055.36735051128,200750.30460159623
Total,cancer,2002,256943.6786911702,246305.1264706364,268239.76307817997
Total,cancer,2003,321466.7572361849,308470.9543126193,335400.2944751384
Total,cancer,2004,384813.75279569323,369460.1063244556,401036.39118773624
Total,cancer,2005,448695.0536245304,431045.3644758696,467082.02902501385
Total,cancer,2006,511822.24362859246,492063.0453942443,532375.6757095909
Total,cancer,2007,574116.6513208973,552264.4242427538,596735.4703112248
Total,cancer,2008,636160.1583449164,612217.5653698334,660886.9481333772
Total,cancer,2009,698623.0183118788,672708.5409667992,725333.2471330941
Total,cancer,2010,760130.4108164426,732231.953467016,788861.2009861305
Total,cancer,2011,821130.5440401607,791310.6951964973,851925.6050341106
Total,cancer,2012,881935.9598460384,850192.0285530379,914670.089874325
Total,cancer,2013,942258.1871821922,908617.2433136082,976992.0046271463
Total,cancer,2014,1002431.1757581752,966929.0696741032,1039055.2787063807
Total,cancer,2015,1061834.983332615,1024405.0366048504,1100565.2733398096
Total,cancer,2016,1121257.7723835842,1081854.3362692331,1161783.2176016283
Total,cancer,2017,1179805.2092265983,1138395.6073719335,1222223.987177373
Total,cancer,2018,1237155.894898229,1193816.480327316,1281513.207311421
Total,cancer,2019,1293623.9366009394,1248401.0455607765,1339835.018116203
Total,cancer,2020,1349904.9651426433,1302758.1706921225,1398050.1746414087
Total,cancer,1999,50807.89809225622,48522.8697172526,53155.59888749673
Total,cancer,2000,101867.53354248,97366.46453335532,106390.0148906667
Total,cancer,2001,153701.7430420627,147073.81715637998,160413.37789317447
Total,cancer,2002,205548.59182778455,196868.1982580647,214395.30587600276
Total,cancer,2003,257202.69386329583,246509.8231335659,268051.0151273053
Total,cancer,2004,307839.65263132425,295338.4320800681,320602.81695976126
Total,cancer,2005,358922.90847738466,344655.05316378886,373533.9870180468
Total,cancer,2006,409442.95184832177,393478.6154765231,425821.9034723778
Total,cancer,2007,459248.08814471366,441660.68505242665,477296.727884613
Total,cancer,2008,508870.79720964347,489645.30086475925,528520.0831125962
Total,cancer,2009,558782.7599946494,537984.2764144333,580075.7459580599
Total,cancer,2010,608031.2708213924,585672.9207286494,630962.2241805263
Total,cancer,2011,656842.4357402908,632853.6045105797,681360.8806169757
Total,cancer,2012,705442.4329181092,679941.7392371435,731569.298873674
Total,cancer,2013,753744.0439602312,726693.8788959582,781449.0520783192
Total,cancer,2014,801931.1124663113,773375.7787651678,831196.9215987067
Total,cancer,2015,849548.7883130608,819416.2947200553,880310.6166052446
Total,cancer,2016,897085.8511593165,865388.9943633341,929364.2260367308
Total,cancer,2017,943894.67114815,910644.0076615311,977811.0370453316
Total,cancer,2018,989752.8067563588,955024.3790388261,1025242.2798959194
Total,cancer,2019,1034931.8160101566,998721.0817281398,1071974.4666231736
Total,cancer,2020,1079962.82647316,1042217.9948034233,1118497.1264878372
Total,cancer,1999,53911.1484486821,51603.82225454438,56270.16699660338
Total,cancer,2000,108141.38985232063,103477.9842731748,113009.68209337401
Total,cancer,2001,163187.01930604043,156313.37690791296,170359.70333311654
Total,cancer,2002,218259.3989657941,209322.7137301009,227677.92089650672
Total,cancer,2003,273084.6548464653,262152.773714797,284623.84181060316
Total,cancer,2004,326895.63313637814,314099.88426294376,340499.1041637599
Total,cancer,2005,381188.06983570475,366406.68033170386,396682.3025716122
Total,cancer,2006,434845.621088564,418299.91294721694,452090.1471838449
